,Ozone,Wind,Temp,Month,Day
1,41,7.4,67,5,1
2,36,8,72,5,2
3,12,NA,74,5,3
4,18,11.5,62,5,4
5,NA,14.3,56,5,5
6,28,12.1,66,5,6
7,23,8.6,65,5,7
8,19,13.8,59,5,8
9,8,16.2,61,5,9
10,NA,8.6,69,5,10
11,7,6.9,74,5,11
12,16,9.7,69,5,12
13,11,9.2,66,5,13
14,14,NA,68,5,14
15,18,13.2,58,5,15
16,14,11.5,64,5,16
17,34,12,66,5,17
18,6,0.2,57,5,18
19,30,11.5,68,5,19
20,11,9.7,62,5,20
21,1,NA,59,5,21
22,11,16.6,73,5,22
23,4,9.7,61,5,23
24,32,12,61,5,24
25,NA,14.1,57,5,25
26,NA,12.2,58,5,26
27,NA,8,57,5,27
28,23,12,67,5,28
29,45,14.9,81,5,29
30,115,5.7,79,5,30
31,37,NA,76,5,31
32,NA,8.6,78,6,1
33,NA,9.7,74,6,2
34,NA,4.1,67,6,3
35,NA,9.2,84,6,4
36,NA,8.6,85,6,5
37,NA,14.3,79,6,6
38,29,9.7,82,6,7
39,NA,6.9,87,6,8
40,71,NA,90,6,9
41,39,10.1,87,6,10
42,NA,10.9,93,6,11
43,NA,3.1,92,6,12
44,23,8,82,6,13
45,NA,13.8,80,6,14
46,NA,3.6,79,6,15
47,21,NA,77,6,16
48,37,0.25,72,6,17
49,20,9.2,65,6,18
50,12,3.2,73,6,19
51,13,10.3,76,6,20
52,NA,0.1,77,6,21
53,NA,3.2,76,6,22
54,NA,4.6,76,6,23
55,NA,NA,76,6,24
56,NA,8,75,6,25
57,NA,8,78,6,26
58,NA,10.3,73,6,27
59,NA,11.5,80,6,28
60,NA,5,77,6,29
61,NA,8,83,6,30
62,135,4.1,84,7,1
63,49,9.2,85,7,2
64,32,9.2,81,7,3
65,NA,10.9,84,7,4
66,64,4.6,83,7,5
67,40,NA,83,7,6
68,77,5.1,88,7,7
69,97,NA,92,7,8
70,97,5.7,92,7,9
71,85,7.4,89,7,10
72,NA,8.6,82,7,11
73,10,14.3,73,7,12
74,27,NA,81,7,13
75,NA,13.1,91,7,14
76,7,14.3,80,7,15
77,48,9.2,81,7,16
78,35,NA,82,7,17
79,61,9.3,84,7,18
80,79,5.1,87,7,19
81,63,11.5,85,7,20
82,16,6.9,74,7,21
83,NA,9.7,81,7,22
84,NA,11.5,82,7,23
85,80,8.6,86,7,24
86,108,8,85,7,25
87,20,8.6,82,7,26
88,52,12,86,7,27
89,82,7.4,88,7,28
90,50,7.4,86,7,29
91,64,7.4,83,7,30
92,59,9.2,81,7,31
93,39,6.9,81,8,1
94,9,13.8,81,8,2
95,16,7.4,82,8,3
96,78,NA,86,8,4
97,35,7.4,85,8,5
98,66,4.6,87,8,6
99,122,4,89,8,7
100,89,10.3,90,8,8
101,110,8,90,8,9
102,NA,8.6,92,8,10
103,NA,11.5,86,8,11
104,44,11.5,86,8,12
105,28,11.5,82,8,13
106,65,9.7,80,8,14
107,NA,11.5,79,8,15
108,22,12.7,77,8,16
109,59,6.3,79,8,17
110,23,7.4,76,8,18
111,31,10.9,78,8,19
112,44,10.3,78,8,20
113,21,18.5,77,8,21
114,9,12.1,72,8,22
115,NA,12.6,75,8,23
116,45,9.7,79,8,24
117,168,NA,81,8,25
118,73,8,86,8,26
119,NA,5.7,88,8,27
120,76,9.7,97,8,28
121,118,0.2,94,8,29
122,84,6.3,96,8,30
123,85,6.3,94,8,31
124,96,6.9,91,9,1
125,78,5.1,92,9,2
126,73,2.8,93,9,3
127,91,4.6,93,9,4
128,47,7.4,87,9,5
129,32,2.7,84,9,6
130,20,10.9,80,9,7
131,23,NA,78,9,8
132,21,10.9,75,9,9
133,24,9.7,73,9,10
134,44,14.9,81,9,11
135,21,17.5,76,9,12
136,28,6.3,77,9,13
137,9,10.9,71,9,14
138,13,11.5,71,9,15
139,46,6.9,78,9,16
140,18,13.8,67,9,17
141,13,10.3,76,9,18
142,24,10.3,68,9,19
143,16,NA,82,9,20
144,13,12.6,64,9,21
145,23,9.2,71,9,22
146,36,10.3,81,9,23
147,7,10.3,69,9,24
148,14,13.6,63,9,25
149,30,6.9,70,9,26
150,NA,13.2,77,9,27
151,14,14.3,75,9,28
152,18,8,76,9,29
153,20,11.5,68,9,30
